,t,cumCases
2020-02-24,0,229.0
2020-02-25,1,322.0
2020-02-26,2,400.0
2020-02-27,3,650.0
2020-02-28,4,888.0
2020-02-29,5,1128.0
2020-03-01,6,1694.0
2020-03-02,7,2036.0
2020-03-03,8,2502.0
2020-03-04,9,3089.0
2020-03-05,10,3858.0
2020-03-06,11,4636.0
2020-03-07,12,5883.0
2020-03-08,13,7375.0
2020-03-09,14,9172.0
2020-03-10,15,10149.0
2020-03-11,16,12462.0
2020-03-12,17,15113.0
2020-03-13,18,17660.0
2020-03-14,19,21157.0
2020-03-15,20,24747.0
2020-03-16,21,27980.0
2020-03-17,22,31506.0
2020-03-18,23,35713.0
2020-03-19,24,41035.0
2020-03-20,25,47021.0
2020-03-21,26,53578.0
2020-03-22,27,59138.0
2020-03-23,28,63927.0
2020-03-24,29,69176.0
2020-03-25,30,74386.0
2020-03-26,31,80539.0
2020-03-27,32,86498.0
2020-03-28,33,92472.0
2020-03-29,34,97689.0
2020-03-30,35,101739.0
2020-03-31,36,105792.0
2020-04-01,37,110574.0
