,t,cumCases
2020-02-15,0,255.0
2020-02-16,1,276.0
2020-02-17,2,303.0
2020-02-18,3,330.0
2020-02-19,4,347.0
2020-02-20,5,400.0
2020-02-21,6,459.0
2020-02-22,7,517.0
2020-02-23,8,590.0
2020-02-24,9,696.0
2020-02-25,10,824.0
2020-02-26,11,970.0
2020-02-27,12,1149.0
2020-02-28,13,1466.0
2020-02-29,14,1712.0
2020-03-01,15,2396.0
2020-03-02,16,3193.0
2020-03-03,17,3990.0
2020-03-04,18,4938.0
2020-03-05,19,6215.0
2020-03-06,20,7822.0
2020-03-07,21,9678.0
2020-03-08,22,11861.0
2020-03-09,23,15239.0
2020-03-10,24,19869.0
2020-03-11,25,24567.0
2020-03-12,26,30477.0
2020-03-13,27,38214.0
2020-03-14,28,45632.0
2020-03-15,29,53454.0
2020-03-16,30,62857.0
2020-03-17,31,71644.0
2020-03-18,32,80543.0
2020-03-19,33,89162.0
2020-03-20,34,99725.0
2020-03-21,35,107106.0
2020-03-22,36,113865.0
2020-03-23,37,122072.0
2020-03-24,38,129157.0
2020-03-25,39,136055.0
2020-03-26,40,142377.0
2020-03-27,41,148395.0
2020-03-28,42,153739.0
2020-03-29,43,157977.0
2020-03-30,44,163081.0
2020-03-31,45,167480.0
2020-04-01,46,172923.0
