,t,cumCases
2020-02-15,0,1.0
2020-02-16,1,1.0
2020-02-17,2,1.0
2020-02-18,3,1.0
2020-02-19,4,1.0
2020-02-20,5,1.0
2020-02-21,6,1.0
2020-02-22,7,1.0
2020-02-23,8,1.0
2020-02-24,9,1.0
2020-02-25,10,1.0
2020-02-26,11,2.0
2020-02-27,12,3.0
2020-02-28,13,11.0
2020-02-29,14,14.0
2020-03-01,15,14.0
2020-03-02,16,19.0
2020-03-03,17,32.0
2020-03-04,18,62.0
2020-03-05,19,87.0
2020-03-06,20,146.0
2020-03-07,21,179.0
2020-03-08,22,225.0
2020-03-09,23,326.0
2020-03-10,24,424.0
2020-03-11,25,620.0
2020-03-12,26,771.0
2020-03-13,27,923.0
2020-03-14,28,994.0
2020-03-15,29,1063.0
2020-03-16,30,1146.0
2020-03-17,31,1265.0
2020-03-18,32,1410.0
2020-03-19,33,1553.0
2020-03-20,34,1733.0
2020-03-21,35,1869.0
2020-03-22,36,1987.0
2020-03-23,37,2169.0
2020-03-24,38,2399.0
2020-03-25,39,2713.0
2020-03-26,40,2999.0
2020-03-27,41,3364.0
2020-03-28,42,3664.0
2020-03-29,43,3944.0
2020-03-30,44,4360.0
2020-03-31,45,4834.0
2020-04-01,46,5320.0
