dateRep,day,month,year,cases,countriesAndTerritories
02/01/2020,2,1,2020,1.0,Germany
23/01/2020,23,1,2020,1.0,Germany
28/01/2020,28,1,2020,2.0,Germany
29/01/2020,29,1,2020,2.0,Germany
31/01/2020,31,1,2020,5.0,Germany
01/02/2020,1,2,2020,1.0,Germany
03/02/2020,3,2,2020,1.0,Germany
04/02/2020,4,2,2020,4.0,Germany
05/02/2020,5,2,2020,2.0,Germany
06/02/2020,6,2,2020,1.0,Germany
07/02/2020,7,2,2020,1.0,Germany
10/02/2020,10,2,2020,1.0,Germany
11/02/2020,11,2,2020,3.0,Germany
12/02/2020,12,2,2020,1.0,Germany
15/02/2020,15,2,2020,1.0,Germany
17/02/2020,17,2,2020,1.0,Germany
18/02/2020,18,2,2020,1.0,Germany
20/02/2020,20,2,2020,2.0,Germany
24/02/2020,24,2,2020,1.0,Germany
25/02/2020,25,2,2020,3.0,Germany
26/02/2020,26,2,2020,7.0,Germany
27/02/2020,27,2,2020,24.0,Germany
28/02/2020,28,2,2020,47.0,Germany
29/02/2020,29,2,2020,23.0,Germany
01/03/2020,1,3,2020,35.0,Germany
02/03/2020,2,3,2020,41.0,Germany
03/03/2020,3,3,2020,84.0,Germany
04/03/2020,4,3,2020,157.0,Germany
05/03/2020,5,3,2020,186.0,Germany
06/03/2020,6,3,2020,186.0,Germany
07/03/2020,7,3,2020,142.0,Germany
08/03/2020,8,3,2020,103.0,Germany
09/03/2020,9,3,2020,345.0,Germany
10/03/2020,10,3,2020,595.0,Germany
11/03/2020,11,3,2020,756.0,Germany
12/03/2020,12,3,2020,992.0,Germany
13/03/2020,13,3,2020,1461.0,Germany
14/03/2020,14,3,2020,1303.0,Germany
15/03/2020,15,3,2020,980.0,Germany
16/03/2020,16,3,2020,2037.0,Germany
17/03/2020,17,3,2020,3025.0,Germany
18/03/2020,18,3,2020,3599.0,Germany
19/03/2020,19,3,2020,4057.0,Germany
20/03/2020,20,3,2020,4050.0,Germany
21/03/2020,21,3,2020,3356.0,Germany
22/03/2020,22,3,2020,2264.0,Germany
23/03/2020,23,3,2020,3728.0,Germany
24/03/2020,24,3,2020,4878.0,Germany
25/03/2020,25,3,2020,5680.0,Germany
26/03/2020,26,3,2020,5901.0,Germany
27/03/2020,27,3,2020,5978.0,Germany
28/03/2020,28,3,2020,4722.0,Germany
29/03/2020,29,3,2020,3076.0,Germany
30/03/2020,30,3,2020,4117.0,Germany
31/03/2020,31,3,2020,6061.0,Germany
01/04/2020,1,4,2020,6255.0,Germany
02/04/2020,2,4,2020,6548.0,Germany
03/04/2020,3,4,2020,6191.0,Germany
04/04/2020,4,4,2020,4342.0,Germany
05/04/2020,5,4,2020,2535.0,Germany
06/04/2020,6,4,2020,3657.0,Germany
07/04/2020,7,4,2020,5185.0,Germany
08/04/2020,8,4,2020,5274.0,Germany
09/04/2020,9,4,2020,4903.0,Germany
10/04/2020,10,4,2020,3356.0,Germany
11/04/2020,11,4,2020,2886.0,Germany
12/04/2020,12,4,2020,1865.0,Germany
13/04/2020,13,4,2020,1597.0,Germany
14/04/2020,14,4,2020,2463.0,Germany
15/04/2020,15,4,2020,3324.0,Germany
16/04/2020,16,4,2020,3416.0,Germany
17/04/2020,17,4,2020,3046.0,Germany
18/04/2020,18,4,2020,2107.0,Germany
19/04/2020,19,4,2020,1375.0,Germany
20/04/2020,20,4,2020,1709.0,Germany
21/04/2020,21,4,2020,2184.0,Germany
22/04/2020,22,4,2020,2488.0,Germany
23/04/2020,23,4,2020,2089.0,Germany
24/04/2020,24,4,2020,1905.0,Germany
25/04/2020,25,4,2020,1271.0,Germany
26/04/2020,26,4,2020,704.0,Germany
27/04/2020,27,4,2020,1118.0,Germany
28/04/2020,28,4,2020,1460.0,Germany
29/04/2020,29,4,2020,1431.0,Germany
30/04/2020,30,4,2020,1461.0,Germany
01/05/2020,1,5,2020,919.0,Germany
02/05/2020,2,5,2020,620.0,Germany
03/05/2020,3,5,2020,424.0,Germany
04/05/2020,4,5,2020,728.0,Germany
05/05/2020,5,5,2020,1089.0,Germany
06/05/2020,6,5,2020,1220.0,Germany
07/05/2020,7,5,2020,1197.0,Germany
08/05/2020,8,5,2020,978.0,Germany
09/05/2020,9,5,2020,678.0,Germany
10/05/2020,10,5,2020,341.0,Germany
11/05/2020,11,5,2020,685.0,Germany
12/05/2020,12,5,2020,853.0,Germany
13/05/2020,13,5,2020,909.0,Germany
14/05/2020,14,5,2020,808.0,Germany
15/05/2020,15,5,2020,727.0,Germany
16/05/2020,16,5,2020,461.0,Germany
17/05/2020,17,5,2020,316.0,Germany
18/05/2020,18,5,2020,543.0,Germany
19/05/2020,19,5,2020,728.0,Germany
20/05/2020,20,5,2020,830.0,Germany
21/05/2020,21,5,2020,419.0,Germany
22/05/2020,22,5,2020,525.0,Germany
23/05/2020,23,5,2020,337.0,Germany
24/05/2020,24,5,2020,218.0,Germany
25/05/2020,25,5,2020,412.0,Germany
26/05/2020,26,5,2020,618.0,Germany
27/05/2020,27,5,2020,649.0,Germany
28/05/2020,28,5,2020,530.0,Germany
29/05/2020,29,5,2020,445.0,Germany
30/05/2020,30,5,2020,374.0,Germany
31/05/2020,31,5,2020,178.0,Germany
01/06/2020,1,6,2020,137.0,Germany
02/06/2020,2,6,2020,306.0,Germany
03/06/2020,3,6,2020,496.0,Germany
04/06/2020,4,6,2020,527.0,Germany
05/06/2020,5,6,2020,437.0,Germany
06/06/2020,6,6,2020,285.0,Germany
07/06/2020,7,6,2020,164.0,Germany
08/06/2020,8,6,2020,296.0,Germany
09/06/2020,9,6,2020,426.0,Germany
10/06/2020,10,6,2020,518.0,Germany
11/06/2020,11,6,2020,281.0,Germany
12/06/2020,12,6,2020,352.0,Germany
13/06/2020,13,6,2020,299.0,Germany
14/06/2020,14,6,2020,172.0,Germany
15/06/2020,15,6,2020,259.0,Germany
16/06/2020,16,6,2020,518.0,Germany
17/06/2020,17,6,2020,862.0,Germany
18/06/2020,18,6,2020,763.0,Germany
19/06/2020,19,6,2020,994.0,Germany
20/06/2020,20,6,2020,569.0,Germany
21/06/2020,21,6,2020,222.0,Germany
22/06/2020,22,6,2020,443.0,Germany
23/06/2020,23,6,2020,545.0,Germany
24/06/2020,24,6,2020,505.0,Germany
25/06/2020,25,6,2020,567.0,Germany
26/06/2020,26,6,2020,574.0,Germany
27/06/2020,27,6,2020,324.0,Germany
28/06/2020,28,6,2020,201.0,Germany
29/06/2020,29,6,2020,415.0,Germany
30/06/2020,30,6,2020,457.0,Germany
01/07/2020,1,7,2020,482.0,Germany
02/07/2020,2,7,2020,472.0,Germany
03/07/2020,3,7,2020,426.0,Germany
04/07/2020,4,7,2020,293.0,Germany
05/07/2020,5,7,2020,143.0,Germany
06/07/2020,6,7,2020,324.0,Germany
07/07/2020,7,7,2020,392.0,Germany
08/07/2020,8,7,2020,450.0,Germany
09/07/2020,9,7,2020,424.0,Germany
10/07/2020,10,7,2020,425.0,Germany
11/07/2020,11,7,2020,276.0,Germany
12/07/2020,12,7,2020,131.0,Germany
13/07/2020,13,7,2020,327.0,Germany
14/07/2020,14,7,2020,469.0,Germany
15/07/2020,15,7,2020,540.0,Germany
16/07/2020,16,7,2020,555.0,Germany
17/07/2020,17,7,2020,523.0,Germany
18/07/2020,18,7,2020,442.0,Germany
19/07/2020,19,7,2020,179.0,Germany
20/07/2020,20,7,2020,454.0,Germany
21/07/2020,21,7,2020,523.0,Germany
22/07/2020,22,7,2020,699.0,Germany
23/07/2020,23,7,2020,694.0,Germany
24/07/2020,24,7,2020,809.0,Germany
25/07/2020,25,7,2020,542.0,Germany
26/07/2020,26,7,2020,211.0,Germany
27/07/2020,27,7,2020,527.0,Germany
28/07/2020,28,7,2020,756.0,Germany
29/07/2020,29,7,2020,910.0,Germany
30/07/2020,30,7,2020,862.0,Germany
31/07/2020,31,7,2020,914.0,Germany
01/08/2020,1,8,2020,561.0,Germany
02/08/2020,2,8,2020,305.0,Germany
03/08/2020,3,8,2020,797.0,Germany
04/08/2020,4,8,2020,949.0,Germany
05/08/2020,5,8,2020,1112.0,Germany
06/08/2020,6,8,2020,1169.0,Germany
07/08/2020,7,8,2020,1005.0,Germany
08/08/2020,8,8,2020,710.0,Germany
09/08/2020,9,8,2020,321.0,Germany
10/08/2020,10,8,2020,1103.0,Germany
11/08/2020,11,8,2020,1193.0,Germany
12/08/2020,12,8,2020,1540.0,Germany
13/08/2020,13,8,2020,1491.0,Germany
14/08/2020,14,8,2020,1376.0,Germany
15/08/2020,15,8,2020,756.0,Germany
16/08/2020,16,8,2020,494.0,Germany
17/08/2020,17,8,2020,1548.0,Germany
