,day,month,year,cases,t,cumCases
2020-02-01,1.0,2.0,2020.0,1.0,0,1.0
2020-02-02,,,,,1,1.5
2020-02-03,3.0,2.0,2020.0,1.0,2,2.0
2020-02-04,4.0,2.0,2020.0,4.0,3,6.0
2020-02-05,5.0,2.0,2020.0,2.0,4,8.0
2020-02-06,6.0,2.0,2020.0,1.0,5,9.0
2020-02-07,7.0,2.0,2020.0,1.0,6,10.0
2020-02-08,,,,,7,10.333333333333334
2020-02-09,,,,,8,10.666666666666666
2020-02-10,10.0,2.0,2020.0,1.0,9,11.0
2020-02-11,11.0,2.0,2020.0,3.0,10,14.0
2020-02-12,12.0,2.0,2020.0,1.0,11,15.0
2020-02-13,,,,,12,15.333333333333334
2020-02-14,,,,,13,15.666666666666666
2020-02-15,15.0,2.0,2020.0,1.0,14,16.0
2020-02-16,,,,,15,16.5
2020-02-17,17.0,2.0,2020.0,1.0,16,17.0
2020-02-18,18.0,2.0,2020.0,1.0,17,18.0
2020-02-19,,,,,18,19.0
2020-02-20,20.0,2.0,2020.0,2.0,19,20.0
2020-02-21,,,,,20,20.25
2020-02-22,,,,,21,20.5
2020-02-23,,,,,22,20.75
2020-02-24,24.0,2.0,2020.0,1.0,23,21.0
2020-02-25,25.0,2.0,2020.0,3.0,24,24.0
2020-02-26,26.0,2.0,2020.0,7.0,25,31.0
2020-02-27,27.0,2.0,2020.0,24.0,26,55.0
2020-02-28,28.0,2.0,2020.0,47.0,27,102.0
2020-02-29,29.0,2.0,2020.0,23.0,28,125.0
2020-03-01,1.0,3.0,2020.0,35.0,29,160.0
2020-03-02,2.0,3.0,2020.0,42.0,30,202.0
2020-03-03,3.0,3.0,2020.0,84.0,31,286.0
2020-03-04,4.0,3.0,2020.0,157.0,32,443.0
2020-03-05,5.0,3.0,2020.0,186.0,33,629.0
2020-03-06,6.0,3.0,2020.0,187.0,34,816.0
2020-03-07,7.0,3.0,2020.0,142.0,35,958.0
2020-03-08,8.0,3.0,2020.0,103.0,36,1061.0
2020-03-09,9.0,3.0,2020.0,345.0,37,1406.0
2020-03-10,10.0,3.0,2020.0,595.0,38,2001.0
2020-03-11,11.0,3.0,2020.0,756.0,39,2757.0
2020-03-12,12.0,3.0,2020.0,992.0,40,3749.0
2020-03-13,13.0,3.0,2020.0,1460.0,41,5209.0
2020-03-14,14.0,3.0,2020.0,1303.0,42,6512.0
2020-03-15,15.0,3.0,2020.0,980.0,43,7492.0
